Transaction,Prediction,Top Feature 1,Top Feature 2,Top Feature 3,Top Feature 4,Top Feature 5
98,Genuine,V3,V12,V14,V11,V10
99,Genuine,V14,V3,V12,V4,V11
100,Genuine,V4,V14,V3,V11,V12
101,Genuine,V14,V10,V11,V12,V17
102,Genuine,V14,V3,V12,V11,V4
103,Genuine,V4,V3,V11,V12,V14
104,Genuine,V12,V11,V14,V17,V10
105,Genuine,V4,V14,V12,V11,V10
106,Genuine,V14,V12,V3,V10,V11
107,Genuine,V14,V3,V12,V11,V10
108,Genuine,V14,V3,V12,V11,V10
109,Genuine,V14,V4,V17,V9,V10
110,Genuine,V14,V3,V4,V10,V17
111,Genuine,V14,V12,V3,V10,V17
112,Genuine,V12,V3,V14,V11,V17
113,Genuine,V12,V3,V14,V17,V10
114,Genuine,V14,V3,V12,V10,V17
115,Genuine,V4,V12,V14,V10,V17
116,Genuine,V12,V14,V3,V10,V17
117,Genuine,V12,V14,V3,V10,V17
118,Genuine,V12,V14,V10,V4,V17
119,Genuine,V4,V14,V3,V12,V10
120,Genuine,V11,V12,V3,V4,V14
121,Genuine,V12,V14,V3,V10,V4
122,Genuine,V14,V4,V3,V10,V11
123,Genuine,V4,V14,V10,V12,V1
124,Genuine,V14,V12,V4,V10,V17
125,Genuine,V12,V3,V11,V14,V10
126,Genuine,V14,V3,V12,V11,V10
127,Genuine,V14,V3,V12,V11,V10
128,Genuine,V12,V14,V3,V10,V17
129,Genuine,V4,V14,V3,V12,V11
130,Genuine,V14,V3,V12,V10,V17
131,Genuine,V14,V3,V12,V10,V17
132,Genuine,V4,V14,V3,V10,V12
133,Genuine,V12,V14,V10,V17,V4
134,Genuine,V4,V14,V3,V12,V11
135,Genuine,V14,V3,V12,V4,V10
136,Genuine,V3,V14,V10,V4,V12
137,Genuine,V12,V14,V10,V4,V17
138,Genuine,V12,V14,V3,V10,V17
139,Genuine,V4,V12,V14,V3,V10
140,Genuine,V4,V12,V10,V14,V17
141,Genuine,V4,V12,V3,V14,V10
142,Genuine,V14,V10,V12,V4,V17
143,Genuine,V12,V3,V11,V4,V14
144,Genuine,V12,V3,V14,V10,V4
145,Genuine,V12,V10,V17,V14,V8
146,Genuine,V3,V11,V14,V12,V10
147,Genuine,V14,V11,V12,V10,V17
148,Genuine,V14,V12,V10,V17,V16
149,Genuine,V14,V3,V12,V10,V17
150,Genuine,V14,V3,V11,V12,V10
151,Genuine,V4,V14,V12,V10,V17
152,Genuine,V4,V12,V14,V10,V17
153,Genuine,V3,V11,V12,V14,V10
154,Genuine,V14,V12,V3,V11,V4
155,Genuine,V14,V10,V3,V12,V4
156,Genuine,V4,V10,V12,V21,V22
157,Genuine,V12,V3,V4,V11,V10
158,Genuine,V4,V12,V10,V24,V11
159,Genuine,V3,V12,V4,V17,V24
160,Genuine,V12,V14,V11,V10,V17
161,Genuine,V12,V14,V3,V4,V10
162,Genuine,V12,V14,V3,V11,V10
163,Genuine,V12,V14,V3,V10,V17
164,Genuine,V4,V3,V14,V11,V12
165,Genuine,V14,V12,V11,V3,V4
166,Genuine,V12,V3,V4,V14,V17
167,Genuine,V12,V14,V3,V10,V17
168,Genuine,V12,V14,V11,V4,V10
169,Genuine,V12,V3,V11,V14,V10
170,Genuine,V14,V3,V12,V4,V10
171,Genuine,V4,V14,V3,V10,V11
172,Genuine,V14,V3,V12,V10,V17
173,Genuine,V14,V4,V3,V17,V10
174,Genuine,V14,V3,V12,V10,V8
175,Genuine,V12,V14,V3,V10,V17
176,Genuine,V12,V14,V11,V4,V17
177,Genuine,V14,V12,V3,V10,V4
178,Genuine,V4,V12,V14,V17,V11
179,Genuine,V14,V11,V12,V4,V10
180,Genuine,V14,V3,V4,V10,V17
181,Genuine,V4,V14,V3,V17,V10
182,Genuine,V4,V12,V14,V10,V17
183,Genuine,V4,V12,V11,V14,V10
184,Genuine,V4,V3,V14,V11,V12
185,Genuine,V12,V14,V3,V11,V10
186,Genuine,V14,V12,V11,V10,V17
187,Genuine,V14,V12,V10,V17,V11
188,Genuine,V4,V14,V3,V12,V10
189,Genuine,V14,V12,V11,V10,V8
190,Genuine,V12,V14,V3,V10,V17
191,Genuine,V12,V14,V3,V10,V4
192,Genuine,V4,V14,V12,V11,V17
193,Genuine,V4,V14,V12,V10,V17
194,Genuine,V12,V4,V14,V26,V10
195,Genuine,V3,V14,V12,V11,V18
196,Genuine,V12,V14,V3,V4,V10
197,Genuine,V14,V3,V12,V11,V10
198,Genuine,V12,V10,V16,V14,V4
199,Genuine,V12,V3,V11,V14,V17
